 ZONE F=POINT, I=         128 , J=         250
0.278125E+02  0.212543E-02  0.100000E+01            90
0.281250E+02  0.212543E-02  0.100000E+01            91
0.284375E+02  0.212543E-02  0.100000E+01            92
0.287500E+02  0.212543E-02  0.100000E+01            93
0.290625E+02  0.212543E-02  0.100000E+01            94
0.293750E+02  0.212543E-02  0.100000E+01            95
0.296875E+02  0.212543E-02  0.100000E+01            96
0.300000E+02  0.212543E-02  0.100000E+01            97
0.303125E+02  0.212543E-02  0.100000E+01            98
0.306250E+02  0.212543E-02  0.100000E+01            99
0.309375E+02  0.212543E-02  0.100000E+01           100
0.312500E+02  0.212543E-02  0.100000E+01           101
0.315625E+02  0.212543E-02  0.100000E+01           102
0.318750E+02  0.212543E-02  0.100000E+01           103
0.321875E+02  0.212543E-02  0.100000E+01           104
0.325000E+02  0.212543E-02  0.100000E+01           105
0.328125E+02  0.212543E-02  0.100000E+01           106
0.331250E+02  0.212543E-02  0.100000E+01           107
0.334375E+02  0.212543E-02  0.100000E+01           108
0.337500E+02  0.212543E-02  0.100000E+01           109
0.340625E+02  0.212543E-02  0.100000E+01           110
0.343750E+02  0.212543E-02  0.100000E+01           111
0.346875E+02  0.212543E-02  0.100000E+01           112
0.350000E+02  0.212543E-02  0.100000E+01           113
0.353125E+02  0.212543E-02  0.100000E+01           114
0.356250E+02  0.212543E-02  0.100000E+01           115
0.359375E+02  0.212543E-02  0.100000E+01           116
0.362500E+02  0.212543E-02  0.100000E+01           117
0.365625E+02  0.212543E-02  0.100000E+01           118
0.368750E+02  0.212543E-02  0.100000E+01           119
0.371875E+02  0.212543E-02  0.100000E+01           120
0.375000E+02  0.212543E-02  0.100000E+01           121
0.378125E+02  0.212543E-02  0.100000E+01           122
0.381250E+02  0.212543E-02  0.100000E+01           123
0.384375E+02  0.212543E-02  0.100000E+01           124
0.387500E+02  0.212543E-02  0.100000E+01           125
0.390625E+02  0.212543E-02  0.100000E+01           126
0.393750E+02  0.212543E-02  0.100000E+01           127
0.396875E+02  0.212543E-02  0.100000E+01           128
0.000000E+00  0.360809E-02  0.999999E+00             1
0.312500E+00  0.360809E-02  0.999999E+00             2
0.625000E+00  0.360809E-02  0.999999E+00             3
0.937500E+00  0.360809E-02  0.999999E+00             4
0.125000E+01  0.360809E-02  0.999999E+00             5
0.156250E+01  0.360809E-02  0.999999E+00             6
0.187500E+01  0.360809E-02  0.999999E+00             7
0.218750E+01  0.360809E-02  0.999999E+00             8
0.250000E+01  0.360809E-02  0.999999E+00             9
0.281250E+01  0.360809E-02  0.999999E+00            10
0.312500E+01  0.360809E-02  0.999999E+00            11
0.343750E+01  0.360809E-02  0.999999E+00            12
0.375000E+01  0.360809E-02  0.999999E+00            13
0.406250E+01  0.360809E-02  0.999999E+00            14
0.437500E+01  0.360809E-02  0.999999E+00            15
0.468750E+01  0.360809E-02  0.999999E+00            16
0.500000E+01  0.360809E-02  0.999999E+00            17
0.531250E+01  0.360809E-02  0.999999E+00            18
0.562500E+01  0.360809E-02  0.999999E+00            19
0.593750E+01  0.360809E-02  0.999999E+00            20
0.625000E+01  0.360809E-02  0.999999E+00            21
0.656250E+01  0.360809E-02  0.999999E+00            22
0.687500E+01  0.360809E-02  0.999999E+00            23
0.718750E+01  0.360809E-02  0.999999E+00            24
0.750000E+01  0.360809E-02  0.999999E+00            25
0.781250E+01  0.360809E-02  0.999999E+00            26
0.812500E+01  0.360809E-02  0.999999E+00            27
0.843750E+01  0.360809E-02  0.999999E+00            28
0.875000E+01  0.360809E-02  0.999999E+00            29
0.906250E+01  0.360809E-02  0.999999E+00            30
0.937500E+01  0.360809E-02  0.999999E+00            31
0.968750E+01  0.360809E-02  0.999999E+00            32
0.100000E+02  0.360809E-02  0.999999E+00            33
0.103125E+02  0.360809E-02  0.999999E+00            34
0.106250E+02  0.360809E-02  0.999999E+00            35
0.109375E+02  0.360809E-02  0.999999E+00            36
0.112500E+02  0.360809E-02  0.999999E+00            37
0.115625E+02  0.360809E-02  0.999999E+00            38
0.118750E+02  0.360809E-02  0.999999E+00            39
0.121875E+02  0.360809E-02  0.999999E+00            40
0.125000E+02  0.360809E-02  0.999999E+00            41
0.128125E+02  0.360809E-02  0.999999E+00            42
0.131250E+02  0.360809E-02  0.999999E+00            43
0.134375E+02  0.360809E-02  0.999999E+00            44
